ITEM_ID,DOMAIN,FEATURE_OR_DELIVERABLE,CURRENT_REALITY,EXPECTED_PRODUCT_BEHAVIOR,SCOPE_CLASS,RELEASE_BLOCKING,DELIVERY_BLOCKING,CONTENT_DEPENDENCY,EVIDENCE,RATIONALE,FINAL_DECISION
SC-11,Research,研究工作台高密检索与浏览,已实现只读检索、实体关联图谱与数据盘点,学者可检索学术实体并查看证据链,R0,NO,NO,NO,ResearchHomeView.vue; ResearchSearchView.vue,研究端阅读与检索能力完全就绪,COMPLETE
SC-12,Research,学术成果Markdown/打印导出,ExportPanel组件支持客户端导出,一键导出结构化Markdown或打印页面,R0,NO,NO,NO,ExportPanel.vue; export.ts,导出功能完全可用,COMPLETE
SC-13,Research,研究工作台项目在线创建(写UI),后端API完备前端无新建项目表单界面,学者可在工作台创建专属研究项目,R1,NO,YES,NO,ResearchHomeView.vue; phase1.py:770,后端具备完整API但前端缺少输入表单导致普通学者无法自助建项目,REQUIRED_FOR_CURRENT_DELIVERY
SC-14,Research,研究工作台笔记在线录入(写UI),后端API完备前端无新增笔记表单界面,学者可在工作台记录考证笔记,R1,NO,YES,NO,phase1.py:860,与项目创建同理属于研究端写闭环,REQUIRED_FOR_CURRENT_DELIVERY
SC-15,Research,研究成果提交流程UI,后端submit_for_review就绪前端无提交按钮,学者可提交成果供管理员审核,R3,NO,NO,NO,phase1.py:735,属于进阶学术协作流前期可通过线下或工作台内部沉淀,FUTURE_ENHANCEMENT
SC-16,Admin,管理端审核审批工作流UI,后端approve/reject就绪前端仅有AuditView,管理员可视化审核学者提交的成果,R3,NO,NO,NO,AdminHomeView.vue; phase1.py:927,进阶学术治理流前期不阻塞交付,FUTURE_ENHANCEMENT
SC-17,Media,多媒体文件在线上传UI,后端存储服务就绪前端无上传组件,支持管理员在线上传图片/扫描件,R3,NO,NO,NO,MediaService.py,前期由运维/数据团队通过批量脚本入库,FUTURE_ENHANCEMENT
SC-18,Media,多媒体审核与版权管理UI,后端RightsStatus状态机完备前端无审核流,管理员审核媒体资产版权状态,R3,NO,NO,NO,MediaAsset.py,前期不影响前台展示,FUTURE_ENHANCEMENT
SC-19,Admin,审计日志与数据对账,已完整实现AuditLogView与Reconciliation,查看操作日志并一键触发跨实体对账,R0,NO,NO,NO,AuditLogView.vue; phase1.py:1000,管理端审计与一致性保障已就绪,COMPLETE
SC-20,Data,最低可交付数据集 (Minimum Dataset),核心纪年、版本、传承人、骨干引文已就绪,支撑平台所有公开页面高保真渲染,R0,NO,NO,YES,corePerson.ts; jiayiView.ts,满足最低运行与初验标准,COMPLETE
SC-21,Data,515篇论文全文与深度数字化,仅检索10篇代表论文全文未全录入,515篇全部建立全文检索与索引,R2,NO,NO,YES (Heavy),searchIndex.ts:SEARCHABLE_PAPER_TOTAL,属于交付后持续内容加工工程不阻塞软件交付,POST_DELIVERY_CONTENT_WORK
SC-22,Data,349穴位全本经文细粒度数字化,卷篇骨架就绪349穴未全结构化灌库,349穴及万条经文全部入库与打标,R2,NO,NO,YES (Heavy),JiayiView.vue; CDomainTerm,属于典籍数字化深加工工程不阻塞软件交付,POST_DELIVERY_CONTENT_WORK
SC-23,Ops,生产部署脚本与环境验证器,initialize-production与validate-env完备,一键验证环境并建立首个管理员,R0,NO,NO,NO,initialize-production.py; validate-production-env.py,已通过测试验证具备交付能力,COMPLETE
SC-24,Docs,运维与开发者技术手册,Runbook与ND1文档已构建,指导开发者与运维部署和启动系统,R0,NO,NO,NO,HFM-LOCAL-RUNTIME-RUNBOOK.md,技术文档完备,COMPLETE
SC-25,Docs,终端用户使用手册 (用户/学者指南),暂无面向终端读者的图文说明文档,指导非技术用户如何使用平台功能,R1,NO,YES,NO,None,交付给客户时必须附带业务操作说明,REQUIRED_FOR_CURRENT_DELIVERY
