EVIDENCE_ID,SUBJECT_ID,CLAIM_TYPE,CLAIM,SOURCE_DOCUMENT_ID,SOURCE_ASSET_ID,SOURCE_PAGE,SOURCE_CONTEXT,EVIDENCE_TYPE,REVIEW_STATUS
EVIDENCE-015,PERSON-HFM-HUANGFUMI,历史评价（《晋书》）,素履幽贞、闲居养疾、敦悦丘坟、贫贱不以为耻,DOC-HFM-A000005,HFM-A000005,T0R2,"《晋书》：素履幽贞，闲居养疾……确乎不拔，斯固有晋之高人者欤！""""""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-016,PERSON-HFM-HUANGFUMI,历史评价（清·李巨来）,晋代著书之富无出其右,DOC-HFM-A000005,HFM-A000005,T0R5,"李巨来：考晋时著书之富，无若皇甫谧者。""""""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-017,PERSON-HFM-HUANGFUMI,国际影响表述,"WHO将针灸列为治疗专项；称""与孔子齐名世界文化史""",DOC-HFM-A000005,HFM-A000005,T0R11,"世界卫生组织批准把针灸列为治疗专项，皇甫谧也因此成为我国唯一与孔子齐名于世界文化史的历史名人""""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-018,PERSON-HFM-HUANGFUMI,待人轶事,梁柳任太守拒饯行（贫富不以酒肉为礼）,DOC-HFM-A000005,HFM-A000005,T0R12,"柳为布衣时过吾，吾送迎不出门……今作郡而送之，是贵城阳太守而贱梁柳……是非吾心所安也。""""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-019,PERSON-HFM-HUANGFUMI,非遗归属,陇派中医非遗项目；从《针灸甲乙经》发展的古典针灸流派,DOC-HFM-A000005,HFM-A000005,T2R6,"李志锋《皇甫谧针灸》2025……明确其为从《针灸甲乙经》发展而来的古典针灸流派地位，是陇派中医""非遗项目的重要组成部分""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-020,PERSON-HFM-HUANGFUMI,电影《皇甫谧》,2016年·吕一丁主演·公元268年叙事主线,DOC-HFM-A000005,HFM-A000005,T1R1,影片以公元268年西晋名医皇甫谧为叙事主线，讲述其用针灸救治皇后后拒官归乡，历经磨难完成《针灸甲乙经》,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-021,PERSON-HFM-HUANGFUMI,电视剧《皇甫谧传奇》（皇甫神医）,2018年·陈浩民主演,DOC-HFM-A000005,HFM-A000005,T1R2,该剧讲述了三国两晋时期，皇甫谧在乱世中钻研医术、著书立说,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-022,PERSON-HFM-HUANGFUMI,秦腔剧《皇甫谧》首演年份,2011年（表内）与2012年（升级版）并存,DOC-HFM-A000005,HFM-A000005,T1R3 vs T1R4,"T1R32011年首演""；T1R4""2012年首演""（升级版）""",TEXT_QUOTE,CONFLICT
EVIDENCE-023,PERSON-HFM-HUANGFUMI,权威集成与整理著作,皇甫谧研究集成(钱超尘温长路2011)/遗著集(史星海)/李志锋研究专集,DOC-HFM-A000005,HFM-A000005,T2R4/T2R5/T2R7,《皇甫谧研究集成》2011……《皇甫谧遗著集》中文现代版、英文版……《李志锋皇甫谧文化研究专集》,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-024,PERSON-HFM-HUANGFUMI,命名机构/设施,医院/纪念馆/文化园/学校/研究院等15类命名设施,DOC-HFM-A000005,HFM-A000005,T3R1..T3R15,皇甫谧针灸医院（灵台）……灵台县皇甫谧中医院……北京皇甫谧中医研究院……河南义马市皇甫谧中医院,TEXT_QUOTE,NEEDS_REVIEW
